id,amenities,description
10671192,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Spacious one bedroom apartment complete with a full kitchen, patio, laundry, queen sized bed. Great location, in the desirable South End. Walking distance to everything. No one lives in the apartment which means you can make the most of the space.  It is totally clear and totally yours.  All drawers and closets are clean and empty. Spacious 1 bedroom apartment on a quiet street in the South end of Boston. Great location, walking distance to Boston's major attractions. Guest are free to use anything in the apartment including full kitchen, back patio, washer and dryer.  The space is clutter free and has been prepared specifically for you. Enjoy it. The place is all to yourself and is self check in. I will provide you with my phone number which you can call if you have any questions.    We are 100% available to handle any issues that come up during your stay (please do let us know if there is anything we can do to make your stay more comfortable) but otherwise enjoy the privacy and indep"
6677469,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}","Centrally located, quiet neighborhood, steps from Copley, Prudential, Back Bay train station. In the heart of the best restaurants and shopping in the city. Walk to the Esplanade, freedom trail, Boston Common, Fenway Park."
6895050,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","Great location, heart of BackBay. Upstairs private, quiet/ALL yours. Beautiful kitchen, living/dining area w/great cozy guest bedroom/full bath Sanctuary in the city,  gorgeous private deck, great city/park view. Gorgeous skylight over living room. Large atrium style skylight living room.  Upside down house. guest quarters w/ fully equipped modern kitchen on upper level.  Very comfortable queen bed. Easy access from guest quarters to large private deck with chaise lounges and table and chairs for dining. Very comfortable peaceful and private space in the heart of the City. PLEASE PRESENT IDENTIFICATION AT CHECKIN: Full Access to upstairs kitchen, full bath and private roof deck.  With the Exception of Closets and Drawers.  No access to first level master bedroom/bath. Master bedroom on first level.  Upper 2nd level completely private for guests, but nearby if  assistance is needed.  Although listed as ""Shared"" Really feels more like a private apartment,  as we provide maximum privacy f"
4402209,"{Internet,""Wireless Internet"",""Air Conditioning"",Heating,Washer,Dryer,Essentials,Shampoo}",This is a good room!
11202183,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Small private studio apartment built in 1789, located at the top of Beacon Hill. It is next door to the oldest house in Beacon Hill and is close to many tourist attractions while still being in a quiet local neighborhood. You will be with in 5 minutes of the Massachusetts State House and the oldest park in the country known as the Boston Common. You will also be within walking distance of Back Bay and the North End. We welcome you to our small home in beautiful Beacon Hill. This studio is located at the top of Beacon Hill at the center of the cities top attractions. We live upstairs and the studio is located on the bottom floor. This studio apartment is equipped with a tempurpedic double bed, down comforter, and down pillows. IF YOU WOULD LIKE A SECOND TWIN BED FOR A THIRD GUEST WE ARE MORE THEN HAPPY TO ACCOMMODATE. There is a tv that has cable for your convenience of keeping up with the latest news or your favorite tv show. There is plenty of space for activities including chairs and"
1757417,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}","Relax in our 1912 Arts & Crafts bungalow in the quiet Bellevue Hill neighborhood of West Roxbury in Boston's southwest corner. Soak in the clawfoot tub. Enjoy sunsets on the front porch. Curl up in front of the stone fireplace. Free street parking. Expansive front porch. Field stone fireplace. Coffered ceilings. Built-in hutches. Window seats. We think you'll find our 1912 Arts & Crafts era bungalow's unpretentious character warmly welcoming. You'll have a large private room with queen bed adjacent to a full bathroom with shower and clawfoot tub. (Bathroom may be shared with up to 2 other guests if our second bedroom with double bed happens to be rented.) Feel comfortable lounging in the living room in front of the fireplace, hanging out on the front porch, and taking a meal or playing a board game at the dining room table. Just ask for a tour of the kitchen if you'd like to prepare a meal or store things in the fridge. We'll greet you and get you oriented and settled, then give you sp"
5684598,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}","Urban Chic meets Historic Charlestown!  Newly Renovated Fully Furnished 1 bed/1 bath with open floor plan. Located in Bostons most desirable neighborhoods.  A great community that is safe and located minutes from Cambridge the North End and downtown Boston.  Newly renovated unit with Stainless Steel appliances, cable tv and high speed internet. Steps away is The Boston Harborwalk and located walking distance to a water taxi, and free Mass General Shuttle to North Station. The kitchen is of renovated and allows you to do a lot of cooking. There is a dishwasher, toaster, coffee maker, spices, salt and pepper, oil and kitchen utensils, and pots & pans. All of our kitchen supplies are available for your use.  The living room is a great place to kick back and relax. Enjoy some home-cooked food or takeout at our dinning table (seats 4). We also have a Flat-screen TV, DVD player for your entertainment.  Secure high-speed wireless internet is included.  Parking spot comes with the unit, Laundr"
11122394,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}","Recently renovated penthouse unit located in the heart of historic Back Bay, steps from Newbury Street, the Boston Public Gardens, the Prudential Center, and the Charles River Esplanade.  Enjoy a huge private roofdeck with sweeping Boston views! Fully furnished penthouse flat, renovated with a modern flare and comfortable feel. Located on a quiet street in a Boston Brownstone. Enjoy a huge private roof deck with sweeping views of the Boston Public Gardens and Boston skyline. The unit includes: --Two bedrooms: one with two twin beds and the other with a king bed  --Living space and kitchen with open lay out, lots of natural light and dining room table with seating for six --Flat screen TV with cable --One newly-renovated bathroom with walk-in shower --Walk up (3 flights) to the top floor apartment Deck is private to the unit and fully accessible all year. Our official check-in is 3pm and check-out noon.  However, we are happy to try to accommodate earlier check-in or later check-out, if"
5726250,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}","Our 1840's single family home is close to everything the city has to offer. 4 floors of fully renovated space with old New England charm:  3+ bedrooms, 4 bathrooms, central air, new kitchen, outdoor space, parking. You will feel right at home here! Our 3+ bedroom home, built in 1841, has old New England charm but is fully renovated with four floors of living space, with a bathroom on each level!  We also have central air for the warm summer months.   Our home is most suited for the traveling family of 4 or 5.  The first floor has a living room with TV, full dining room, large kitchen with a walk out patio with outside seating.  The second floor has a master bedroom with a king bed, a second bedroom with a single bed and a full bathroom with a tub.  The third bedroom is on the third floor, has two single beds and a full bathroom.  There are also two very comfortable couches, each with their own bathrooms and a bonus room in the basement for movies or kids hangout/playroom.   The locatio"
9590679,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Get a good nights rest in this large clean room with a comfy pillow top bed.  Chill and read with the natural morning light in the single chair or get some study done at the table.  Move around Boston easily using the nearby public transport (Green E Line, Orange Line, Bus 39) or park your car for free on the road.  Pop around the corner for a snack at Whole Foods or at one of the restaurants. Your bilingual international hosts can help guide you in English or Spanish. Large room with a high ceiling and wooden floors. Two windows provide you with good light. The room has a comfortable queen size pillow top bed and plenty of storage space. Bedroom, lounge, bathroom. The yoga/meditation room is available upon agreement. If staying less than 2 weeks the use of kitchen is restricted i.e. for making breakfast (before 11am) and coffee/tea/water access. We are flexible and interaction depends on you. We can tell you about the area and sometimes go on outings together. If you however want to j"
9463444,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}","Centrally located in the hip neighborhood of JP (as locals say) apt is a 5 min walk to the subway, cafes, shops, restaurants, bike share, beautiful Jamaica Pond, and the Sam Adams brewery. This open attic space is perfect for your Boston adventure! Jamaica Plain is full of things to do, see, and eat! Start your day off with coffee at Ula Cafe, yoga at JP Yoga or the Blissful Monkey, then brunch at Centre St Cafe. Tour the Sam Adams Brewery, and shop for souvineers in shops along Centre St like On Centre and Salmagundi. Then get ice cream at JP Licks and walk around beautiful JP pond. End your day with tapas at Tres Gatos or pizza and a dance party at Bella Luna.  You'll enjoy every minute of your JP adventure... And if you want more of what Boston has to offer, hop on the subway and be downtown in 12 min. Boston's MBTA subway (the T) is less than a 5 min walk from the apartment. Closest stop is ""Green Street"" station on the orange line. You can get downtown in 12-15 min! This apartment"
9013631,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","Renovated - entire 3 bedroom (8 total beds), 1 bath, 1000sqft. Beds: 2 Queen, 5 Twin, 1 Full sofa bed. 5 min drive to Downtown or Airport, 5 min walk to the Beach/Ocean, 10 min walk to the Redline Subway T station. Near Telegraph Hill in the South Boston neighborhood. The location is great because you've got the City, Nature, and Transportation. 3rd floor unit - no elevator. Approx $10 Uber ride to Boston Convention Center (BCEC). No dedicated parking, limited options. 1 of 3 units in same bldg. An entire 3 bedroom, 1 bathroom apartment to your very own. 8 total beds. Open concept living room, dining, and kitchen. 3rd floor unit – no elevator. The living room contains a couch that pulls out into a Full size bed. The two medium sized bedrooms each contain a Queen bed. The larger middle bedroom contains 2 pairs of bunk beds and a trundle (all 5 are twin size beds). Also remember that there is only 1 bathroom for all to use. The space is suitable for a large family - even though the unit "
8523157,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","Spend a night, or the week in this bright, colorful, oversized bedroom featuring a queen sized bed & custom artwork. Located in a modern hilltop townhouse. Landscaped back yard & roof deck with amazing city views.  Free street parking. Cable & wifi. Our home was build in 2004, but blends flawlessly with the victorian era neighborhood its located in.  The hilltop location provides for lovely ocean breezes on the roof deck and a quiet serene feel in the very private backyard.  The Bedroom is extremely large with a double door closet for your use.  A Private bath is provided on the first floor for your use during your stay. Guests have access to private bedroom with closet, flatscreen, cable, wifi and dvd player as well as use of kitchen and 1 of two full bathrooms.  Shared use of living room and dining room as needed. If we are home we are here to help.  Feel free to ask for restaurant recommendations, date night suggestions, great places for music, film or theatre.  As an acclaimed priv"
8480507,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","Venture into the South End neighborhood, just steps from the city's best restaurants, Fenway Park and the Orange Line. With a large mahogany deck and modern amenities, our home makes for a perfect vacation or a comfortable overnight stay. Completely renovated in 2007, our home has the charm of a classic Boston brownstone with 10 foot ceilings, ornate fireplaces and crown molding paired with a modern kitchen. An open living room and kitchen concept provides a door to our 300 sq ft deck with a three piece furniture set along with a dining table which essentially adds a second living room. One bedroom with the an en suite bathroom conveniently gives dual access to the shower and another smaller bathroom for guests staying in the living room (if required). Living room, kitchen and deck also accessible as previously mentioned. A queen size air mattress is also available if necessary for guests up to 4. A lock box will be available with keys for entry or a meeting time will be arranged to ex"
13298546,"{""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer""}","Classic, light, clean, open factory loft with original brick and beam. Walk to just about everything -  great restaurants, museums, shopping, convention center. You’ll love this place because of the location and the ambiance. Great for couples, solo adventurers, and business travelers."
5919529,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","Ideal location!  Single family townhouse located in amazing neighborhood - steps to Newbury, Back Bay, South End, Public Gardens, etc.   3 bedrooms/2.5 baths with patio and laundry.  Beautiful exposed brick.  Pay parking right across the street. Location, location, location! Single family townhouse / brownstone located in quaint Boston neighborhood.  Steps to everything!   Centrally located within blocks of Boston's nicest hotels (Four Seasons, the Taj, the W, Park Plaza, the Mandarin Oriental). Don't pay $350-$600 per room/per night for a cramped hotel room when you can stay in a spacious four story (lots of stairs!) 3-bed home where you can relax and explore the city.   Eat-in Kitchen, 3 bedrooms, 2.5 baths, patio, and laundry. 3 bedrooms:  1 master suite (king bed) 1 guest bedroom (full/double bed) 1 nursery (crib + can be setup with an aerobed) There is also a couch (non pull-out) and plenty of space for an aerobed 2.5 bathrooms -  Entry level - Powder Room Floor 2 - Full Bath with"
13296735,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}","Cozy private 1 Bedroom with full bath, adjacent to deck & inground pool on quiet street, near transportation, parks, hiking trails & Boston. Many ammenities included & GLBT friendly. Pets, dogs, ok with prior approval. 2 Yorkies @ home. This is a home away from home, safe n quiet with friendly hosts, willing to make your stay a pleasant & memorable one. Guests have run of the house, including pool, except for kitchen & 2nd floor - hosts' private quarters.  If requested, meals can be provided by hosts, at additional charge. We would be available as much or as little as guests wishes. Very quiet and safe neighborhood, public transportation ( MBTA ) street parking Public transportation within walking distance: 2 commuter rail lines and buses. Uber also available. Continental breakfast included with stay. A-la-carte meals, if requested, at additional charge."
3458030,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",Beautiful Back Bay apt 5 minute walk from Subway stations and 7 minute walk from Copley Sq
3343428,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Custom, well-designed bedroom, 170sqft (15.7sqm), 10' ceiling, bright 4 large south/west facing windows, modern shared bathroom in a international household. Located in historic Fort Hill, 5min walk to the T (Metro), 3rd stop from Back Bay, walk to Longwood, MFA and Fenway. A well balanced blend of modern and historic. The bedroom is well designed for a individual and ideal for long term stays.  Plenty of storage to unload into the built-in closet, and drawers. Dedicated pantry (with black personal cups, mugs, bowls, plates, pans and utensils), fridge, kitchen. I'm a social and hospitable host who loves to share his home with others. I was born and raised in Boston, went to university literally down the road at Northeastern and so with plenty of knowledge I would be more than happy to help. I work from home and so usually around if you ever needed anything. My mother lives in a separate apartment (so please feel free to say hi if you cross paths with her) and I stay at my girlfriend's "
