id,neighborhood,neighborhood_overview
13017064,Allston-Brighton,"Cambridge has a distinct vibe all its own; both richly historical and decidedly modern, this student town is alive with culture. Spend a day thrifting at vintage clothing stores, or try something new at one of the many ethnic restaurants. Then, take a walk around the nearby MIT campus and enjoy outdoor sculptures by masters such as Picasso and 20th-century buildings designed by modern greats such as Eero Saarinen and I.M. Pei.  Cambridge is situated North of Boston Proper, across the beautiful Charles River. It is home to both the Harvard and MIT campuses, and many other colleges and universities. Cambridge's districts are divided by major intersections, known as squares. You can stroll along Kendall Square, Central Square, Harvard Square, and a few others. As one can imagine, Cambridge is mainly inhabited by students and young professionals."
8303748,Allston-Brighton,
14443295,Allston-Brighton,
9834617,Allston-Brighton,"Allston is a typical student area, many bars, international restaurants, clubs, easy access by buses to Downtown Boston, Harvard University, Boston University, MIT, Brookline. Our street is quiet, very very low (if any) traffic noise. You may hear birds in the morning and street cats at night. Ear plugs available upon request.  Stores in the area: large Supermarket Stop and Shop, Dollar Tree, Home Goods store (inexpensive).Check MBTA online for Transit/Charlie card info. Take smart phone pics of maps now, you can use/zum them offline. Keep in mind that there are alternatives and website is not perfect."
12833084,Allston-Brighton,"-About a 5min walk to the Green Line (Southerland Rd) -10min walk to Bright Circle (restaurants, bars, shops) -10-15min walk to Whole Foods"
8758450,Allston-Brighton,"Allston is known for its trendy artsy coffee shops and stores, and its wide variety of international/ ethnic cuisine. The 'Bees Knees Supply Company' is only 2 blocks away from the condo. There are several brunch/ breakfast omelette joints on Harvard Ave., young lively atmosphere, tasty food, and delicious craft beer selection."
6838488,Allston-Brighton,"Lovely, peaceful residential neighborhood with a small convenience store just 1 min walk from the house, liquor store 5 min walk from the house, supermarket shopping plaza and elegant Chinese dine in restaurant 15 min walk away.  There is a Swiss bakery on Western Ave about 10 min walk away and Harvard Square is approx. 15-20 min walk away.  Library and a local church is 5 min walk away.  There is a baseball field, playground, and jogging park just 10 min walk away.  Charles River is 15-20 min walk away.  Numerous shops and dining and Irish bars are on Harvard Ave 15-20 min walk away.  Fenway Stadium is 30 min walk away.  Everything is 5 min or less by car, public transportation is easily accessible."
9854083,Allston-Brighton,"Allston is a typical student area, many bars, international restaurants, clubs, easy access by buses to Downtown Boston, Harvard University, Boston University, MIT, Brookline. Our street is quiet, very very low (if any) traffic noise. You may hear birds in the morning and street cats at night. Ear plugs available upon request.  Stores in the area: large Supermarket Stop and Shop, Dollar Tree, Home Goods store (inexpensive).Check MBTA online for Transit/Charlie card info. Take smart phone pics of maps now, you can use/zum them offline. Keep in mind that there are alternatives and website is not perfect."
14402688,Allston-Brighton,The apartment is close to the B-Line branch of the Green Line. There are a variety of delicious restaurants within walking distance or a short train ride. The apartment is also relatively close to both Boston University and Boston College.
8983081,Allston-Brighton,"The street is a small side street and is a quiet family oriented area (unlike other parts of Allston/Brighton).   It's walking distance (10 mins) from a green-line (B) subway T stop that will take you to downtown Boston and Cambridge. There is also a bus stop right out front.  For groceries, there is a Whole Foods Market just one more block past the subway stop (7 blocks away), so about 12 minutes walk. There is also two more regular supermarkets but they are a little father away, called Stop & Shop and another called Star Market – you can look them up online."
1327725,Allston-Brighton,"Nice restaurants, fun bars and stores in walking distance."
8962914,Allston-Brighton,"Ultra-quiet, with many shops and a very close laundry."
1815326,Allston-Brighton,Just steps away from the Charles River and easy driving access to Boston makes this neighborhood very convenient.  The historic architecture is unique to the area.  Sidewalk lined streets are fun to explore. Panoramic views of the City of Boston can be seen from neighboring streets
13782612,Allston-Brighton,"The apartment is located in a very prime location with restaurants , bars and clubs just a walk away from the house. Variety of restaurants are present on the street i.e chinese , malaysian , Indian , Turkish and many more.  Also grocery store(Star market) is just 2 minutes walk from my apartment."
9255725,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square.  Walk to the grocery store, Bruegger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
9256035,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square.  Walk to the grocery store, Bruegger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
13590412,Allston-Brighton,
13584884,Allston-Brighton,
72811,Allston-Brighton,"richly diverse demographically including many little restaurants, pretty accessible to many metro-area places via bus/'T'/car etc, for this price"
9250014,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square.  Walk to the grocery store, Bruegger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
1839549,Allston-Brighton,"There are so meany cool things in Allston/Brighton/Boston. Nice diners, restaurants, pubs, cafes, concerts, historical attractions, guided tours, shopping, waterfront, Charles river, university, book stores and much more!"
4410765,Allston-Brighton,Very close to the Charles river and convenient for exploring everything Boston has to offer. Very quiet and safe residential street.
7479725,Allston-Brighton,We  live in quiet residential neighborhood (mostly houses not apartment complexes) and are a 3 min walk away from a grocery store.
8310653,Allston-Brighton,"Allston is a neighborhood full of students and young professionals. Allston has some of the best asian restaurants and bars in Boston, be sure to check out the recommended locations in the GuideBook."
7054058,Allston-Brighton,"Cleveland Circle is a beautiful and safe neighborhood filled with young professionals. It boasts three train lines, the Reservoir-a great place for running, and numerous restaurants including my favorites Cityside and Eagle's Deli."
1529321,Allston-Brighton,"There are so meany cool things in Allston/Brighton/Boston. Nice diners, restaurants, pubs, cafes, concerts, historical attractions, guided tours, shopping, waterfront, Charles river, university, book stores and much more!"
466361,Allston-Brighton,"It is a family neighborhood, in a part of Brighton that is NOT overrun with undergrads. "
2555771,Allston-Brighton,"The neighborhood is quiet and residential but close to shopping, with easy access to downtown Boston without being crowded into the urban bustle."
11255643,Allston-Brighton,
11760822,Allston-Brighton,"The apartment is a quick train ride to downtown Boston, Universities, and Colleges, hospitals, etc. Walking distance to Cleveland Circle and Washington Square, minutes from the Chestnut Hill Reservoir, playground across the street. A variety of shops, cafes, supermarkets, bars, convenience stores, Whole Foods, and restaurants are 5 - 15 min walk away. Enjoy the comforts of a city lifestyle in a calm, safe and green neighborhood!"
5661246,Allston-Brighton,"This is a homely area, that is close to stores, coffee shops, and other retail shops."
8704828,Allston-Brighton,"The area is populated by students, recent college graduates and several immigrant groups. The district has become a center for international restaurants, including cuisines from Japan, Korea, Thailand, India, Burma, Tibet, Brazil and other regions across the world. Allston Village, which historically developed around its transportation hub in the late 19th century, was the center of the Rock and Roll music scene in the second half of the 20th century and also features important signage from the recent past"
13642260,Allston-Brighton,
10231171,Allston-Brighton,
4278873,Allston-Brighton,"Our house is on a quiet street, yet so close to numerous restaurants, stores, and popular venues. Everything is only a 5 to 10 minute walk away or accessible by bus or train."
10333345,Allston-Brighton,"Brighton is a dissolved municipality and current neighborhood of Boston, Massachusetts, United States,[1] and is located in the northwest corner of the city. It is named after the town of Brighton in the English city of Brighton and Hove. For its first 160 years Brighton was part of Cambridge and was known as “Little Cambridge."" Throughout much of its early history it was a rural town with a significant commercial center at its eastern end. Brighton separated from Cambridge in 1807 after a bridge dispute and was annexed to Boston, in 1874.[2] The neighborhood of Allston was also formerly part of the Town of Brighton but is now often considered separately, leading to the moniker Allston-Brighton for the combined area."
10353263,Allston-Brighton,"Allston is the home to some of the best music venues and bars in the city, and is less frequented by tourists, making the nightlife a lot more authentic than downtown."
4861476,Allston-Brighton,"- The building is located on the border of Allston and Boston just west of Boston University. The building has a private parking lot (with parking tag of course - enquire with me if you drive) The building is surrounded by hedges and fences which gives it an intimate feel.  - Super convenient and walkable - Shaws supermarket is a huge modern market with fresh produce, foreign or international foods, and every basic necessity you'll need. The market is just a few buildings away from our house. - Entrance to Shaws Supermarket on Gardner Street as well - The subway, the Buses, Taxis, Enterprise car rental, and even a bike share station are all within a 3 block radius from the house. - Boston University West Campus is close to our place.  - New Balance Sports Field, Nickerson Field, The Ice Hockey arena, the Tennis center, and the west campus dorms are up the street.  - Lots of fun bars and restaurants line Commonwealth and Brighton Avenues. The intersection of Brighton and Harvard Avenue "
2114274,Allston-Brighton,
9114896,Allston-Brighton,
4293597,Allston-Brighton,"So much to see and do, near Boston University and all it has to offer. The neighborhood is vibrant and youthful without being boisterous. Clubs, restaurants, stores and transportation all nearby."
4489752,Allston-Brighton,"Our neighborhood is right between the Cleveland circle and Washington square areas of Brighton and Brookline. We love this place because it is close to the city but not to loud at night. Whole Foods is right around the corner and there are plenty of delicious local restaurants. This place would be perfect for anyone visiting Boston College or Boston University, many other schools are also very close by!"
7931331,Allston-Brighton,"Cambridge is situated North of Boston Proper, across the beautiful Charles River. It is home to both the Harvard and MIT campuses, and many other colleges and universities. Cambridge's districts are divided by major intersections, known as squares. You can stroll along Kendall Square, Central Square, Harvard Square, and a few others. As one can imagine, Cambridge is mainly inhabited by students and young professionals."
1902160,Allston-Brighton,
13327034,Allston-Brighton,Very safe neighborhood. Mostly college students and young professional. It's safe to walk at anytime.
831744,Allston-Brighton,Vibrant neighborhood with a range of restaurant options and a great nightlife.
9896713,Allston-Brighton,Ample Street Parking!
10706413,Allston-Brighton,Lots of Restaurants nearby and easy public transportation. You will enjoy the convenience.
3701108,Allston-Brighton,
13592046,Allston-Brighton,Lots of Restaurants nearby and easy public transportation. You will enjoy the convenience
5870922,Allston-Brighton,"Very safe and quiet residential neighborhood, you can walk around anytime day or night.  Great access to Harvard Square and all it has to offer - Gourmet restaurants, bars & pubs, cultural events, historical sites, shopping, entertainment, etc. Easy access to MIT, downtown Boston, area hospitals, all in about 12 - 15 minutes with Uber or Lyft."
3901439,Allston-Brighton,
5085125,Allston-Brighton,"Allston Village, which historically developed around its transportation hub in the late 19th century, was the center of the Rock and Roll music scene in the second half of the 20th century and also features important signage from the recent past. The area is populated by students, recent college graduates and several immigrant groups. The district has become a center for international restaurants, including cuisines from Japan, Korea, Thailand, India, Burma, Tibet, Brazil and other regions across the world."
3419711,Allston-Brighton,"So much to see and do, near Boston University and all it has to offer. The neighborhood is vibrant and youthful without being boisterous. Clubs, restaurants, stores and transportation all nearby."
1525494,Allston-Brighton,"There are so meany cool things in Allston/Brighton/Boston. Nice diners, restaurants, pubs, cafes, concerts, historical attractions, guided tours, shopping, waterfront, Charles river, university, book stores and much more!"
3412990,Allston-Brighton,"So much to see and do, near Boston University and all it has to offer. The neighborhood is vibrant and youthful without being boisterous. Clubs, restaurants, stores and transportation all nearby."
5593939,Allston-Brighton,
4294835,Allston-Brighton,"So much to see and do, near Boston University and all it has to offer. The neighborhood is vibrant and youthful without being boisterous. Clubs, restaurants, stores and transportation all nearby."
10607657,Allston-Brighton,"My condo is uniquely accessible via public transportation, specifically the B and C trains of the green line. It is also walkable to local eateries and convenience stores. It is within proximity to Boston College, and Boston University is only a few train stops down the street. The locale consists of students and young professionals."
4340110,Allston-Brighton,Around this apartment has everything from restaurants to 24 hours supermarket to nightlife.
13264687,Allston-Brighton,
12253499,Allston-Brighton,
7692933,Allston-Brighton,"Newton Street is unique to Boston.  Single family 1860 townhouses line the street in alternate brick or stone.  Each are unique.  The Charles River is a few minute walk from my home.  Walkers, bikers and runners share trails that goes to Boston Harbor."
9473811,Allston-Brighton,"Allston is a neighborhood full of students and young professionals. Allston has some of the best asian restaurants and bars in Boston, be sure to check out the recommended locations in the GuideBook."
3601424,Allston-Brighton,
13192046,Allston-Brighton,
2183117,Allston-Brighton,
13450030,Allston-Brighton,
6728273,Allston-Brighton,
3353,Allston-Brighton,
13451383,Allston-Brighton,Lots of Restaurants nearby and easy public transportation. You will enjoy the convenience.
13624929,Allston-Brighton,
13056513,Allston-Brighton,"Boston Landing is an up and coming neighborhood in the village of Brighton, west Boston. The neighborhood is quiet and allows easy access to downtown, Brighton center, Cambridge and the Massachusetts turnpike. Grocers and additional amenities within blocks. Soon to be completed Commuter rail stop and Bruins practice facility!"
1110423,Allston-Brighton,"We're located in beautiful Brighton. Up the street is Brighton Center which has loads of cafes and restaurants. Go the other direction and make your way to Allston for even more food, drink, and fun!"
13156872,Allston-Brighton,
14057189,Allston-Brighton,
10835494,Allston-Brighton,"Top 2 safest neighborhood in Boston. I listed a website but Airbnb blocked it. Search ""jumpshell safest neighborhood Boston"". Cnvenient to train. Close to Chestnut Hill stop on Greenline (B) and Cleveland Circle stop on Greenline (C). Restaurants: REALLY good restaurants (in the top 50 in Boston) are located nearby in Washington Square, Brookline. You can walk or take the Green Line (C) a few stops. I recommend Barcelona, Fairstead Kitchen and Ribelle, all with outdoor seating.  A cool Belgian pub is the Publick House, also the Washington Sq. Tavern and The Abbey.  One of Boston's best pizzas is at Pino's, located a block away in Cleveland Circle.  Allston (another Boston neighborhood) has many pubs and Asian restaurants."
8934599,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square.  Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
12409042,Allston-Brighton,"Very safe residential neighborhood, with great access to Harvard Square, Allston, and Boston!  Lots to see in the area, great restaurants in walking distance,"
12339410,Allston-Brighton,
9496337,Allston-Brighton,"Allston is an incredibly peaceful, yet centric neighborhood in Boston. It is a 15min walk to Harvard Square, Boston University and 20 minutes from Central Square."
7476671,Allston-Brighton,"Friendly, safe, relatively quiet(we are part of Boston, after all!) and very conveniently located."
5784404,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square. Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
9813223,Allston-Brighton,"Restaurants, Bars, Clubs....lots of all of 'em"
14698794,Allston-Brighton,"Walking distance to many attractions including Harvard Business School, BU,  restaurants and plenty of super markets/ convenience stores. Easy access to the T (subway) green line."
3668038,Allston-Brighton,"The neighborhood offers so much! Easy bus access to downtown, great parks, many bars and restaurants offering many different types of cuisine, and more. "
4662379,Allston-Brighton,"Boston is America’s oldest city with the downtown area surrounded by 22 Boston neighborhoods.  The property is situated in Boston’s “Brighton neighborhood”, which is the college neighborhood surrounded by Harvard to the North, Boston College to the South and Boston University to the East.  This location is ideal as you are only 5 miles from downtown Boston and 200 yards from Brighton Center. Brighton Center is a quaint urban area with banks, a post office, library, restaurants, pubs, coffee shops, pizza places, ice cream parlors and more. Enjoy a Pats or Sox game with locals in one of the Irish pubs, have lunch in a pleasant courtyard restaurant, or take an after dinner stroll for some ice cream. Brighton’s lively center offers an authentic taste of life in the Boston area. The house is also within walking distance from a United Church of Christ, Roman Catholic Church and a Jewish Synagogue."
13685207,Allston-Brighton,"Named after the American painter Washington Allston, this West Boston neighborhood is a favorite for students, young professionals, and families. This apartment is conveniently located on a quiet, tree-lined street, but you’re a quick walk or bus ride away from all the action. Don’t miss Deep Ellum, a cozy gastropub nearby, for tasty bite and local craft beer on the patio.  Near the Boston College campus, Allston and Brighton are popular neighborhoods among students and recent grads which means cheap food, lively bars and some of the best music venues in Boston."
2526773,Allston-Brighton,
3606396,Allston-Brighton,Pretty laid back with easy access to the subway
13684464,Allston-Brighton,"Named after the American painter Washington Allston, this West Boston neighborhood is a favorite for students, young professionals, and families. This apartment is conveniently located on a quiet, tree-lined street, but you’re a quick walk or bus ride away from all the action. Don’t miss Deep Ellum, a cozy gastropub nearby, for tasty bite and local craft beer on the patio.  Near the Boston College campus, Allston and Brighton are popular neighborhoods among students and recent grads which means cheap food, lively bars and some of the best music venues in Boston."
7509273,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square.  Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
3012529,Allston-Brighton,"This is a safe family and student neighborhood 1/2 way between BC & BU. MIT is easily reached by the ""T"" or a trolley & a beautiful walk across the Massachusetts Avenue Bridge. Harvard, also, is accessed easily by bus. We are close to Brookline, Newton & Cambridge. There is a Whole Foods Market down the block and we are easy walking distance to Washington Square and Coolidge Corner where you’ll find Trader Joe’s, Brookline Booksmith, Starbucks, many restaurants and a variety of good stores. In the other direction we are a 5 min walk to one of the busy Allston-Brighton student areas with many restaurants, clubs and bars."
8753559,Allston-Brighton,"Brighton is a quiet residential neighborhood on the edge of Boston and provides a wealth of parks and green areas.  In terms of resturants and bars, there are a couple of places worth recommending - Thai North, which won the award for the best Thai restaurant in Boston as well as Fiorella's, with good-quality Italian classics. Both places offer delivery.  Fuel America in Chestnut Hill is a hip, new place with good coffee and offers a really chill and relaxing space for people looking to do some computer work. CafeNation in Brighton Center as well as Athan's are both laptop friendly cafes as well. For food shopping we recommend Trader Joe's in Coolidge Corner or Newton (both ca. 15 min away by car), although there are a number of convenience stores and places to buy produce within walking distance.  There is a YMCA with a gym and a swimming pool less than a 5 minute walk from the house. It is $40/month and $15 per one-time visit. There are plenty of parks and ponds close by: Chandler Po"
12540640,Allston-Brighton,
10747524,Allston-Brighton,
7395978,Allston-Brighton,
13685592,Allston-Brighton,"Named after the American painter Washington Allston, this West Boston neighborhood is a favorite for students, young professionals, and families. This apartment is conveniently located on a quiet, tree-lined street, but you’re a quick walk or bus ride away from all the action. Don’t miss Deep Ellum, a cozy gastropub nearby, for tasty bite and local craft beer on the patio.  Near the Boston College campus, Allston and Brighton are popular neighborhoods among students and recent grads which means cheap food, lively bars and some of the best music venues in Boston."
7868209,Allston-Brighton,"Many great affordable restaurants and bars in the neighborhood. The apt is on the border of Allston, a young hip neighborhood with many college students, and Brookline, a quiet neighborhood with tree lined streets and beautiful homes."
7420789,Allston-Brighton,
9445192,Allston-Brighton,
3181719,Allston-Brighton,"Brighton Center, home of WGBH and National Public Radio, is a choice neighborhood of Boston with history, shops, walking distance to excellent restaurants and close proximity to the Charles River.  An advantage we offer you is the combination of a quiet scenic residence with frequent and speedy mass transit choice to a broad array of destinations in Boston or across the river in Cambridge. "
13509242,Allston-Brighton,
7308811,Allston-Brighton,
13800294,Allston-Brighton,"The neighborhood  is quiet and very safe walking distance to good restaurants and bars. It's 15 minutes drive to downtown Boston, close to Fenway Park."
13674701,Allston-Brighton,
14153636,Allston-Brighton,"Very safe and quiet residential neighborhood, you can walk around anytime day or night.  Great access to Harvard Square and all it has to offer - Gourmet restaurants, bars & pubs, cultural events, historical sites, shopping, entertainment, etc. Easy access to MIT, downtown Boston, area hospitals, all in about 12 - 15 minutes with Uber or Lyft."
2014882,Allston-Brighton,
12761363,Allston-Brighton,
4909590,Allston-Brighton,"Restaurants, Bars, Clubs....lots of all of 'em"
13002808,Allston-Brighton,
14572515,Allston-Brighton,
4737304,Allston-Brighton,"Friendly, safe, relatively quiet(we are part of Boston, after all!) and very conveniently located."
1171578,Allston-Brighton,
10253416,Allston-Brighton,"This welcoming studio apartment is located in the state-of-the-art Continuum Building, just down the street from Harvard’s historic football stadium. 15-min walk across the river to Harvard campus.  Cambridge is situated North of Boston Proper, across the beautiful Charles River. It is home to both the Harvard and MIT campuses, and many other colleges and universities. Cambridge's districts are divided by major intersections, known as squares. You can stroll along Kendall Square, Central Square, Harvard Square, and a few others. As one can imagine, Cambridge is mainly inhabited by students and young professionals."
9685102,Allston-Brighton,"Conveniently located in Brighton, a Boston neighborhood, on the green B, C and D lines. Very close to the Cleveland  Circle reservoire"
8579799,Allston-Brighton,"We are located near many good and affordable restaurants and bars. There are also several grocery stores nearby, including a Star Market three blocks away."
8515356,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square.  Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
2061478,Allston-Brighton,"This is a very nice residential neighborhood of Boston. There are a number of good restaurants and bars a ten-minute walk away (5 min by T) in Washington Square, as well as a Starbucks, a Dunkin Donuts, several bars, a CVS, and numerous eateries within a block. The Reservoir nearby is a great place for jogging or seeing the sun set."
11067772,Allston-Brighton,"Young professionals, families, and students. Walk to two centers and easy access to Boston"
13415816,Allston-Brighton,Very safe neighborhood. even walking at night.
13126713,Allston-Brighton,"Allston/Brighton is a choice neighborhood of Boston with history, shops, walking distance to excellent restaurants and close proximity to the Charles River. An advantage we offer you is the combination of a quiet scenic residence with frequent and speedy mass transit choice to a broad array of destinations in Boston or across the river in Cambridge."
76073,Allston-Brighton,
4670285,Allston-Brighton,"Friendly, safe, relatively quiet (we are part of Boston, after all!) and very conveniently located."
7921649,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square. Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
13004551,Allston-Brighton,"Cambridge has a distinct vibe all its own; both richly historical and decidedly modern, this student town is alive with culture. Spend a day thrifting at vintage clothing stores, or try something new at one of the many ethnic restaurants. Then, take a walk around the nearby MIT campus and enjoy outdoor sculptures by masters such as Picasso and 20th-century buildings designed by modern greats such as Eero Saarinen and I.M. Pei.  Cambridge is situated North of Boston Proper, across the beautiful Charles River. It is home to both the Harvard and MIT campuses, and many other colleges and universities. Cambridge's districts are divided by major intersections, known as squares. You can stroll along Kendall Square, Central Square, Harvard Square, and a few others. As one can imagine, Cambridge is mainly inhabited by students and young professionals."
4106372,Allston-Brighton,"- The building is located on the border of Allston and Boston just west of Boston University. The building has a private parking lot (with parking tag of course - enquire with me if you drive) The building is surrounded by hedges and fences which gives it an intimate feel.  - Super convenient and walkable - Shaws supermarket is a huge modern market with fresh produce, foreign or international foods, and every basic necessity you'll need. The market is just a few buildings away from our house. - Entrance to Shaws Supermarket on Gardner Street as well - The subway, the Buses, Taxis, Enterprise car rental, and even a bike share station are all within a 3 block radius from the house. - Boston University West Campus is close to our place.  - New Balance Sports Field, Nickerson Field, The Ice Hockey arena, the Tennis center, and the west campus dorms are up the street.  - Lots of fun bars and restaurants line Commonwealth and Brighton Avenues. The intersection of Brighton and Harvard Avenue "
716245,Allston-Brighton,"Close to city, very nice Chandler Pond just around the corner, the nature gem in the city."
6119918,Allston-Brighton,
11220522,Allston-Brighton,Umai on Market street is the best Japanese food I have ever had. I have them on speed dial
8518237,Allston-Brighton,
13733887,Allston-Brighton,The neighborhood is Allston Village.
95453,Allston-Brighton,
8224214,Allston-Brighton,"We are located right on the Green line of the T (that is the local subway transportation system for you non -Boston natives) between Boston College and Boston University. Also there is easy access to buses that can get you to Harvard University as well. There are several fine restaurants to dine at. Cuisines ranging from American, Pizza, Italian, Chinese, Sushi, Seafood and bakeries. Whole Foods is an easy 10 minute walk away from our location. CVS is also not far away. This is a safe neighborhood."
6823017,Allston-Brighton,"Very safe and it's very close to Charle's River to run, bike, and kayak."
